areacd,areanm,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E07000168,Scarborough,30474,30218,32361,33414,34361,35220,36125,36507,36572,36254,36421,36481,36333,35829,36252,37896,39638,40768,41006
E07000169,Selby,49083,49014,50644,52235,54532,56612,57516,57515,55428,53949,52672,53042,53411,53596,53555,54451,55328,56335,56365
E07000170,Ashfield,43322,43280,43748,44676,46078,46864,46986,47042,47555,48337,48692,48662,48587,48543,48752,48969,49746,50567,51286
E07000171,Bassetlaw,31627,31177,33941,34976,35467,35658,36237,36852,37619,37973,38194,38400,38725,39141,39319,39553,40127,40918,41536
E07000172,Broxtowe,37990,37667,39446,40477,41210,41365,41325,41522,42794,45293,48079,50350,51515,51523,51307,50690,51585,52360,53423
E07000173,Gedling,28481,28118,30605,31498,32111,32438,33437,34746,37084,38981,40299,40222,40275,40496,41666,43034,45094,46708,47732
E07000174,Mansfield,26078,26154,26119,26688,27804,28689,29391,29862,31109,32692,34169,34670,34515,34364,34905,36293,37842,38993,39394
E07000175,Newark and Sherwood,35099,35019,35244,34798,34903,35274,36608,37521,38697,39608,40489,40707,40940,41712,42751,43745,44046,44251,44165
E07000176,Rushcliffe,35653,35434,35675,35360,35970,37701,40551,42731,44360,45440,46817,48197,48812,49166,49982,52710,56181,59184,60533
E07000177,Cherwell,40425,40369,40912,41959,43311,45087,46689,47866,48899,49617,50659,51906,53612,55015,56176,56908,57280,57030,56609
E07000178,Oxford,34091,33870,35522,36419,36836,37571,38561,39891,41400,42810,44120,45255,46086,46863,47122,47778,48861,50505,51623
E07000179,South Oxfordshire,40296,40195,41435,42806,44016,44541,44805,45250,46331,47214,47968,49202,50162,51014,51241,52974,55792,58622,60106
E07000180,Vale of White Horse,39135,38858,42603,45485,48158,50278,51530,52319,53423,55103,56692,57787,57692,57442,57553,58449,60148,61259,62073
E07000181,West Oxfordshire,35450,35600,34175,33408,33152,34107,35949,37711,38820,38999,39506,40058,41013,41220,42065,43769,46316,48073,48697
E07000187,Mendip,31585,31456,32286,33311,34672,35864,36624,36961,37225,37262,37251,37213,37538,37750,38205,38894,40157,41347,42076
E07000188,Sedgemoor,30693,30791,30954,31712,33330,35067,36755,37749,38538,39102,39540,39890,40731,42458,44389,46238,47016,47457,47327
E07000189,South Somerset,34949,34847,35979,36627,37222,37564,38171,38623,39266,39607,40383,40977,41922,42733,43853,45527,47081,48480,48935
E07000192,Cannock Chase,36885,36970,38724,40319,41155,40521,39609,39215,39958,40497,40970,41438,41971,42720,43516,45195,46775,48013,48426
E07000193,East Staffordshire,42609,42473,44943,47055,49281,50313,50455,50069,50811,52438,54297,55281,55919,56230,56356,56179,55279,54597,53812
E07000194,Lichfield,32532,32145,35037,36188,36445,36363,36484,36929,37800,38242,38676,39433,40923,42848,44262,45101,45014,44835,44623
E07000195,Newcastle-under-Lyme,28953,28811,30638,32243,33909,35159,35936,36526,37447,38099,38260,38309,39038,40140,41025,41989,43001,44244,44805
